0.266, 0.095, 0.104, 0.000, 0.068
0.267, 0.098, 0.102, 0.000, 0.068
0.260, 0.092, 0.102, 0.000, 0.067
0.272, 0.098, 0.108, 0.000, 0.069
0.262, 0.085, 0.109, 0.000, 0.069
0.250, 0.083, 0.099, 0.000, 0.069
0.247, 0.082, 0.098, 0.000, 0.069
0.232, 0.106, 0.124, 0.044, 0.088
0.253, 0.072, 0.128, 0.000, 0.053
0.213, 0.061, 0.103, 0.000, 0.050
0.251, 0.072, 0.124, 0.000, 0.053
0.241, 0.071, 0.116, 0.000, 0.052
0.258, 0.076, 0.127, 0.000, 0.054
0.254, 0.083, 0.104, 0.000, 0.070
0.270, 0.091, 0.109, 0.000, 0.073
0.263, 0.085, 0.108, 0.000, 0.072
0.250, 0.081, 0.102, 0.000, 0.069
